jd_id,candidate_id
6f9b15ae-2941-4e21-a2b1-b0982b6f85cc,bf27c368-803f-4ae1-98f1-bb679a7a189c
0a2d485c-a2a0-45a6-a5dd-53e760b8f3bc,bf27c368-803f-4ae1-98f1-bb679a7a189c
254ad625-8f14-4f5d-96c8-c4d0af7e5146,bf27c368-803f-4ae1-98f1-bb679a7a189c
7530b7d1-05de-4499-9448-42489e92d514,3618206f-f8b7-4635-9d03-ea0569c441c4
630a4125-a3dd-41a5-a282-b3528d7b2ba9,3618206f-f8b7-4635-9d03-ea0569c441c4
4f646ab7-067c-4db6-9d39-169c046cc84a,3618206f-f8b7-4635-9d03-ea0569c441c4
d90eaf76-6c77-4341-846b-61f410082499,3618206f-f8b7-4635-9d03-ea0569c441c4
1f98e1a5-9b4e-41ca-b031-2dbcb8787de0,3618206f-f8b7-4635-9d03-ea0569c441c4
af865a1c-67d4-42cb-be19-8c80bb40094e,36274cb1-f1a2-48e7-9da3-1ea1079385bd
9749a6af-c4a1-4c86-a6a6-4712da7b7005,36274cb1-f1a2-48e7-9da3-1ea1079385bd
a56e0d4d-9db2-4f1e-9394-059502565898,36274cb1-f1a2-48e7-9da3-1ea1079385bd
b1e6b386-9857-4330-bec2-7a23dddf1476,36274cb1-f1a2-48e7-9da3-1ea1079385bd
7769c3fc-bd91-4213-bd2b-ee72042bbe47,36274cb1-f1a2-48e7-9da3-1ea1079385bd
a25016b4-d1c1-4f16-8aba-98e03e9b62fc,01dd5705-7305-4a3f-b9ba-a147c9649e57
09e813c6-4380-4564-8f02-c762db627b05,01dd5705-7305-4a3f-b9ba-a147c9649e57
0f273f9f-fa45-4a22-8f9a-6ebe0643320b,f84c6c7c-02ba-4550-9050-57b840726616
2728d981-4d2e-4fbb-bf19-761d45100646,f84c6c7c-02ba-4550-9050-57b840726616
0c19b201-574e-4106-b062-632036c8e71a,f84c6c7c-02ba-4550-9050-57b840726616
39f7ad8b-448c-4b99-b74e-0c8fc4986445,2aed13a1-a7c4-4205-962d-104432bf7c2e
fd75ade9-04f7-49e4-ab23-bdb552da6cb0,2aed13a1-a7c4-4205-962d-104432bf7c2e
77bf3364-6b65-4b8c-92a7-219d0c0fbd9a,2aed13a1-a7c4-4205-962d-104432bf7c2e
2a29c79e-4c98-404d-928d-871ab3ea7026,b8bb93cb-20a6-46f0-a904-72afd969cca3
016bec54-49e6-48e4-ba84-f2d4cc8c0017,b8bb93cb-20a6-46f0-a904-72afd969cca3
42e8c5f0-e324-41ba-b9a2-73ef5dcd4c6b,b8bb93cb-20a6-46f0-a904-72afd969cca3
9a0c8fb1-8cc4-49fd-8972-e124524115f3,b8bb93cb-20a6-46f0-a904-72afd969cca3
b2139fef-25ed-4737-a4e7-bc814502a9f0,b8bb93cb-20a6-46f0-a904-72afd969cca3
7ba36f39-e2c0-4448-bb57-ce38ac469081,1004c228-a121-4d39-bf59-bf94501d0db2
0c347820-02cd-4fa6-a35b-716bc56801fa,1004c228-a121-4d39-bf59-bf94501d0db2
ccc5c448-e25c-4e7e-a835-97612f08691b,1004c228-a121-4d39-bf59-bf94501d0db2
189dc9e1-2a0f-4822-841d-f47bb8599241,d0f4ac95-5138-4620-8e8a-264fb057ffaf
f9957e10-700f-4294-b270-abbb7f8df2c4,d0f4ac95-5138-4620-8e8a-264fb057ffaf
3e92b944-776c-4f64-8990-2bc7437965f6,d0f4ac95-5138-4620-8e8a-264fb057ffaf
7b111302-192b-44ce-8799-de6d764d2257,d0f4ac95-5138-4620-8e8a-264fb057ffaf
da228ee5-d7d6-4294-b5c8-22b046621379,48d4b487-4477-4fa0-96c3-3eab172cf461
39b02c98-431a-4880-a3ca-45470f397221,48d4b487-4477-4fa0-96c3-3eab172cf461
613605d1-0ece-47a3-8191-ff752f18f02d,f815082b-63f3-4040-ae90-87a5b093a8ba
fa898710-d922-4536-ad16-904a556ce351,f815082b-63f3-4040-ae90-87a5b093a8ba
989902d9-24ff-49ca-aa59-62ed1fbd1af4,f815082b-63f3-4040-ae90-87a5b093a8ba
